precision,bits,rate_of_improvement,uncorrected_error,corrected_error
4,4,NaN,0.00,0.00
4,5,NaN,0.00,0.00
4,6,NaN,0.00,0.00
5,4,NaN,0.00,0.00
5,5,NaN,0.00,0.00
5,6,NaN,0.00,0.00
6,4,NaN,0.00,0.00
6,5,NaN,0.00,0.00
6,6,NaN,0.00,0.00
7,4,NaN,0.00,0.00
7,5,NaN,0.00,0.00
7,6,NaN,0.00,0.00
8,4,NaN,0.00,0.00
8,5,NaN,0.00,0.00
8,6,NaN,0.00,0.00
9,4,NaN,0.00,0.00
9,5,NaN,0.00,0.00
9,6,NaN,0.00,0.00
10,4,NaN,0.00,0.00
10,5,NaN,0.00,0.00
10,6,19.34,0.01,0.00
11,4,14.64,0.00,0.00
11,5,25.23,0.01,0.00
11,6,NaN,0.00,0.00
12,4,30.39,0.00,0.00
12,5,NaN,0.00,0.00
12,6,NaN,0.00,0.00
13,4,NaN,0.00,0.00
13,5,NaN,0.00,0.00
13,6,NaN,0.00,0.00
14,4,NaN,0.00,0.00
14,5,NaN,0.00,0.00
14,6,5.45,0.00,0.00
15,4,NaN,0.00,0.00
15,5,5.26,0.00,0.00
15,6,16.24,0.00,0.00
16,4,40.96,0.00,0.00
16,5,30.49,0.00,0.00
16,6,28.10,0.00,0.00
17,4,18.16,0.00,0.00
17,5,20.63,0.00,0.00
17,6,30.76,0.00,0.00
18,4,51.23,0.00,0.00
18,5,54.25,0.00,0.00
18,6,345.13,0.00,0.00
