precision,bits,rate_of_improvement,uncorrected_error,corrected_error
4,4,34.8358,0.2323,0.0067
4,5,37.7562,0.1475,0.0039
4,6,140.7797,0.4538,0.0032
5,4,105.9719,0.2576,0.0024
5,5,181.7687,0.3974,0.0022
5,6,181.6744,0.3956,0.0022
6,4,128.3957,0.2660,0.0021
6,5,265.2234,0.3435,0.0013
6,6,393.1742,0.3984,0.0010
7,4,219.8539,0.2694,0.0012
7,5,487.8621,0.3463,0.0007
7,6,651.8821,0.4031,0.0006
8,4,658.4606,0.2736,0.0004
8,5,944.2450,0.3500,0.0004
8,6,1363.3408,0.4056,0.0003
9,4,955.5604,0.2763,0.0003
9,5,1658.0506,0.3524,0.0002
9,6,2211.6132,0.4071,0.0002
10,4,1452.8658,0.2780,0.0002
10,5,2548.0182,0.3539,0.0001
10,6,3285.0901,0.4080,0.0001
11,4,1757.2974,0.2755,0.0002
11,5,3066.8927,0.3521,0.0001
11,6,4226.1717,0.4067,0.0001
12,4,2291.4522,0.2754,0.0001
12,5,3771.9054,0.3520,0.0001
12,6,4154.8561,0.4066,0.0001
13,4,2361.8664,0.2752,0.0001
13,5,3366.0335,0.3519,0.0001
13,6,4559.0898,0.4065,0.0001
14,4,765.7525,0.2295,0.0003
14,5,1006.8390,0.3014,0.0003
14,6,1549.4146,0.3647,0.0002
15,4,1751.5409,0.2747,0.0002
15,5,3883.0684,0.3516,0.0001
15,6,3725.3873,0.4062,0.0001
16,4,1659.4834,0.2745,0.0002
16,5,2545.6356,0.3514,0.0001
16,6,3523.2847,0.4060,0.0001
17,4,1692.6027,0.2741,0.0002
17,5,2171.8329,0.3512,0.0002
17,6,2778.0436,0.4058,0.0001
18,4,1320.9653,0.2738,0.0002
18,5,2256.5609,0.3509,0.0002
18,6,2730.7399,0.4054,0.0001
